Filename,Avg_nDCG@5,Avg_nDCG@10,Avg_nDCG@50,Avg_nDCG
output-file_Skip_win_7@mu_1000@Top_15@LAMBDA_0.15,0.44106137531518400,0.43857367471801600,0.44455548843349000,0.44139684615556300
output-file_Skip_win_3@mu_1000@Top_15@LAMBDA_0.15,0.44007139149601300,0.4357055400491840,0.4483871078527320,0.441388013132643
output-file_Skip_win_7@mu_1000@Top_10@LAMBDA_0.15,0.4444619998466890,0.43451179224845700,0.444663189109469,0.441212327068205
output-file_CBOW_win_5@mu_1000@Top_20@LAMBDA_0.15,0.44170282286676000,0.43338694301346100,0.4482680717421500,0.441119279207457
output-file_Skip_win_9@mu_1250@Top_20@LAMBDA_0.15,0.44144952986004600,0.4384938152853640,0.4433037326405310,0.44108235926198
output-file_CBOW_win_9@mu_1000@Top_15@LAMBDA_0.15,0.4395510091626850,0.43569478629123300,0.4475828758077070,0.440942890420542
output-file_Skip_win_7@mu_1000@Top_5@LAMBDA_0.45,0.43905062441751100,0.4280845349392500,0.4546689435906110,0.440601367649124
output-file_Skip_win_5@mu_1250@Top_15@LAMBDA_0.15,0.4433224890790900,0.430302513597906,0.4473756565086130,0.44033355306187
output-file_CBOW_win_9@mu_1000@Top_20@LAMBDA_0.15,0.4388798268360260,0.43435530815050200,0.44770385720359000,0.440312997396706
output-file_CBOW_win_9@mu_750@Top_15@LAMBDA_0.15,0.4386968541499780,0.43311587992863700,0.44870515112229800,0.440172628400304
output-file_CBOW_win_7@mu_1000@Top_20@LAMBDA_0.15,0.4397248797463230,0.43230191826466300,0.448112187276295,0.440046328429094
output-file_Skip_win_9@mu_1000@Top_15@LAMBDA_0.15,0.43846624230371800,0.43375425963641100,0.44759709173501000,0.43993919789171300
output-file_Skip_win_7@mu_500@Top_5@LAMBDA_0.6,0.4374361406696530,0.4230401407249370,0.4590366425151540,0.4398376413032480
output-file_CBOW_win_3@mu_750@Top_20@LAMBDA_0.15,0.43985907259993100,0.43014704243207000,0.44941939022227900,0.43980850175142700
output-file_Skip_win_7@mu_500@Top_15@LAMBDA_0.15,0.4271992269663120,0.44069334514449300,0.45137639887881700,0.439756323663207
output-file_Skip_win_9@mu_750@Top_15@LAMBDA_0.15,0.4381614699033130,0.43355492199883400,0.44754593265413000,0.439754108185426
output-file_Skip_win_3@mu_1250@Top_20@LAMBDA_0.15,0.4393067511165600,0.4317964296112620,0.44799644587196400,0.439699875533262
output-file_Skip_win_5@mu_1000@Top_5@LAMBDA_0.15,0.4407247346080080,0.4287185530591440,0.4494816884585140,0.4396416587085550
output-file_Skip_win_5@mu_1000@Top_20@LAMBDA_0.15,0.4394237596935070,0.4324709954863250,0.4468833991417620,0.4395927181071980
output-file_Skip_win_3@mu_1000@Top_10@LAMBDA_0.15,0.44064108515886800,0.42981602021349700,0.4479091229607390,0.439455409444368
output-file_CBOW_win_7@mu_1250@Top_5@LAMBDA_0.15,0.4376252883325350,0.4305701815194820,0.4498478392741560,0.4393477697087240
output-file_Skip_win_9@mu_1250@Top_5@LAMBDA_0.15,0.43438860271301700,0.433730774695859,0.4497980547905770,0.439305810733151
output-file_CBOW_win_5@mu_1000@Top_15@LAMBDA_0.15,0.43852241478758100,0.43077228571306300,0.44859173185209300,0.43929547745091200
output-file_Skip_win_9@mu_750@Top_10@LAMBDA_0.15,0.43592614399707200,0.4346912053587300,0.4472474787919820,0.439288276049261
output-file_Skip_win_9@mu_750@Top_20@LAMBDA_0.15,0.4382603128620090,0.433895739778894,0.44563551228129000,0.439263854974064
output-file_Skip_win_7@mu_500@Top_5@LAMBDA_0.15,0.4322521269974920,0.43371055897988600,0.45172493910959300,0.439229208362324
output-file_Skip_win_9@mu_750@Top_5@LAMBDA_0.45,0.4395588756936620,0.4254986642301810,0.45219661352900500,0.439084717817616
output-file_CBOW_win_5@mu_750@Top_15@LAMBDA_0.15,0.43874700974832000,0.42931226167824700,0.44879927567533300,0.43895284903396700
output-file_Skip_win_5@mu_1250@Top_20@LAMBDA_0.3,0.43308040022921700,0.43692126136485600,0.44667251579401500,0.43889139246269600
output-file_CBOW_win_3@mu_1000@Top_5@LAMBDA_0.15,0.44176655655608000,0.4267257926235850,0.4479897788416970,0.438827376007121
output-file_Skip_win_7@mu_750@Top_5@LAMBDA_0.15,0.43566037627670000,0.43274816119586600,0.447894728577604,0.438767755350057
output-file_CBOW_win_7@mu_1000@Top_5@LAMBDA_0.15,0.44006387366395400,0.427604247725049,0.4485627524281800,0.438743624605728
output-file_Skip_win_9@mu_1000@Top_20@LAMBDA_0.15,0.4364376426581770,0.43449747684162500,0.44514936059416300,0.438694826697988
output-file_CBOW_win_3@mu_1000@Top_15@LAMBDA_0.15,0.4414751618925370,0.42622375322956900,0.44826200175143800,0.438653638957848
output-file_CBOW_win_3@mu_750@Top_15@LAMBDA_0.15,0.4394403667644350,0.4300489823012550,0.44616695597359000,0.43855210167976
output-file_Skip_win_7@mu_1250@Top_15@LAMBDA_0.3,0.43397077960822000,0.4361779769890740,0.4450928252029060,0.438413860600067
output-file_Skip_win_9@mu_500@Top_5@LAMBDA_0.3,0.43906671941991400,0.4225107604705390,0.45340532526053100,0.438327601716995
output-file_Skip_win_7@mu_500@Top_20@LAMBDA_0.15,0.424752339184786,0.43944094638876300,0.4507311562331330,0.438308147268894
output-file_Skip_win_7@mu_1250@Top_5@LAMBDA_0.15,0.4353817863272330,0.42915884411925400,0.4503705074528160,0.438303712633101
output-file_Skip_win_7@mu_1000@Top_20@LAMBDA_0.15,0.43780790128820200,0.4331462366501340,0.4437140001362830,0.43822271269154
output-file_Skip_win_5@mu_1250@Top_10@LAMBDA_0.15,0.4369180524430150,0.432617161310809,0.4442544753573740,0.437929896370399
output-file_Skip_win_3@mu_1250@Top_15@LAMBDA_0.15,0.4367638315956660,0.4301441822211620,0.4464822956959150,0.4377967698375810
output-file_Skip_win_9@mu_500@Top_5@LAMBDA_0.15,0.4339361890806580,0.4283792408165200,0.4510702223567530,0.4377952174179770
output-file_CBOW_win_3@mu_1250@Top_10@LAMBDA_0.15,0.4344556471138040,0.43268496935449900,0.44616866586440800,0.43776976077757
output-file_CBOW_win_9@mu_1250@Top_15@LAMBDA_0.15,0.4344728398779900,0.43038485544050700,0.4476863062357100,0.437514667184736
output-file_Skip_win_3@mu_1000@Top_20@LAMBDA_0.15,0.43403662309812600,0.431822721354558,0.44662660361178300,0.437495316021489
output-file_Skip_win_9@mu_750@Top_5@LAMBDA_0.3,0.4362990353290500,0.4267648867100390,0.449347720728227,0.437470547589105
output-file_Skip_win_9@mu_1250@Top_15@LAMBDA_0.3,0.43215598142748000,0.43594424071606000,0.44426579801541000,0.43745534005298300
output-file_CBOW_win_7@mu_1250@Top_20@LAMBDA_0.15,0.4315356669275050,0.4338599499049170,0.446682944201519,0.437359520344647
output-file_CBOW_win_3@mu_1000@Top_10@LAMBDA_0.15,0.43946896914527900,0.4261582494266320,0.4457801724063160,0.437135796992742
output-file_CBOW_win_9@mu_1250@Top_15@LAMBDA_0.3,0.42736808764627200,0.4324625104571830,0.4515581259744480,0.437129574692634
output-file_Skip_win_3@mu_750@Top_10@LAMBDA_0.15,0.43725646795643100,0.42994503888168100,0.44410862354459000,0.43710337679423400
output-file_Skip_win_9@mu_1250@Top_10@LAMBDA_0.15,0.43818791630003800,0.4293488511941400,0.4436506233811440,0.437062463625107
output-file_CBOW_win_3@mu_1250@Top_20@LAMBDA_0.15,0.435407709338935,0.42890682211656900,0.44684943563395600,0.437054655696487
output-file_CBOW_win_9@mu_1250@Top_10@LAMBDA_0.15,0.43049212264184500,0.433322994871255,0.4473087771103030,0.437041298207801
output-file_Skip_win_5@mu_1250@Top_15@LAMBDA_0.3,0.4361267205253220,0.4339107816058670,0.4406076575697050,0.4368817199002980
output-file_Skip_win_9@mu_500@Top_15@LAMBDA_0.15,0.4216017918718020,0.43663842713244200,0.45205171022678500,0.436763976410343
output-file_Skip_win_3@mu_1250@Top_20@LAMBDA_0.3,0.43074641609275700,0.43470026311010400,0.4448014477023240,0.436749375635062
output-file_CBOW_win_9@mu_1250@Top_20@LAMBDA_0.15,0.43341627975722600,0.4300683071749580,0.44611953447923700,0.43653470713714
output-file_Skip_win_7@mu_1250@Top_20@LAMBDA_0.3,0.42697918842481000,0.43503000479851100,0.44748208810193300,0.43649709377508500
output-file_Skip_win_9@mu_1000@Top_15@LAMBDA_0.3,0.43033141649914500,0.4366489293160590,0.4424365926464830,0.436472312820562
output-file_CBOW_win_7@mu_1250@Top_15@LAMBDA_0.15,0.4318214439389760,0.43021847292000900,0.4472727664164680,0.436437561091818
output-file_Skip_win_7@mu_1250@Top_5@LAMBDA_0.3,0.43422089872297500,0.42858050389546700,0.4464950120814710,0.436432138233304
output-file_Skip_win_7@mu_500@Top_5@LAMBDA_0.45,0.4329879802580360,0.42015261477234500,0.4560842562374500,0.436408283755944
output-file_CBOW_win_7@mu_750@Top_15@LAMBDA_0.15,0.43364409618776400,0.4293537207587610,0.4459105957322950,0.436302804226273
output-file_Skip_win_9@mu_1000@Top_5@LAMBDA_0.3,0.4330134945487390,0.427552654456762,0.4482905291638420,0.436285559389781
output-file_Skip_win_7@mu_750@Top_5@LAMBDA_0.6,0.4338419841761920,0.42095602031789600,0.4538957765232540,0.436231260339114
output-file_Skip_win_7@mu_750@Top_15@LAMBDA_0.15,0.43644254229538300,0.43210142912971500,0.44009536781602400,0.43621311308037400
output-file_CBOW_win_5@mu_1250@Top_10@LAMBDA_0.15,0.4315939870140000,0.4300581457695090,0.4468498071547940,0.4361673133127680
output-file_CBOW_win_5@mu_1250@Top_15@LAMBDA_0.15,0.4318214439389760,0.4298453097525190,0.44672564578972500,0.436130799827073
output-file_Skip_win_5@mu_750@Top_5@LAMBDA_0.15,0.43336239789979100,0.4292566128325590,0.4454473189331200,0.43602210988849
output-file_CBOW_win_3@mu_1250@Top_5@LAMBDA_0.15,0.43714720461790900,0.42411702356288700,0.4466363408273390,0.435966856336045
output-file_Skip_win_3@mu_750@Top_20@LAMBDA_0.15,0.4341289968885580,0.42810471108979500,0.4455259133043000,0.435919873760884
output-file_Skip_win_3@mu_1250@Top_10@LAMBDA_0.15,0.4338232915551900,0.4267085588790470,0.4469792968424440,0.4358370490922270
output-file_Skip_win_9@mu_1250@Top_5@LAMBDA_0.3,0.431227947266211,0.42800200813201300,0.4478488022172860,0.43569291920517
output-file_Skip_win_9@mu_1000@Top_5@LAMBDA_0.45,0.4329381236890350,0.4207774007701260,0.4530736489493910,0.4355963911361840
output-file_Skip_win_5@mu_750@Top_15@LAMBDA_0.3,0.4351427829663860,0.4283280565468660,0.44316728008365900,0.435546039865637
